M̩trique,Valeurs,Image
EN,5.9626202225554026e-05,1_palm_200_ddfm.png
SD,0.0017361084947186975,1_palm_200_ddfm.png
MI,8.250461758351645e-06,1_palm_200_ddfm.png
VIF,4.927470764057371e-07,1_palm_200_ddfm.png
QAB/F,0.001248935959362563,1_palm_200_ddfm.png
SSIM,0.2586018518825716,1_palm_200_ddfm.png
EN,5.9626202225554026e-05,1_palm_200_ddfm_denoising.png
SD,0.0017361084947186975,1_palm_200_ddfm_denoising.png
MI,8.250461758351645e-06,1_palm_200_ddfm_denoising.png
VIF,4.927470764057371e-07,1_palm_200_ddfm_denoising.png
QAB/F,0.001248935959362563,1_palm_200_ddfm_denoising.png
SSIM,0.2586018518825716,1_palm_200_ddfm_denoising.png
EN,5.9626202225554026e-05,20_palm_100_ddfm.png
SD,0.0017361084947186975,20_palm_100_ddfm.png
MI,8.250461758351645e-06,20_palm_100_ddfm.png
VIF,4.927470764057371e-07,20_palm_100_ddfm.png
QAB/F,0.001248935959362563,20_palm_100_ddfm.png
SSIM,0.2586018518825716,20_palm_100_ddfm.png
EN,5.9626202225554026e-05,20_palm_100_ddfm_denoising.png
SD,0.0017361084947186975,20_palm_100_ddfm_denoising.png
MI,8.250461758351645e-06,20_palm_100_ddfm_denoising.png
VIF,4.927470764057371e-07,20_palm_100_ddfm_denoising.png
QAB/F,0.001248935959362563,20_palm_100_ddfm_denoising.png
SSIM,0.2586018518825716,20_palm_100_ddfm_denoising.png
EN,5.9626202225554026e-05,20_palm_2_ddfm.png
SD,0.0017361084947186975,20_palm_2_ddfm.png
MI,8.250461758351645e-06,20_palm_2_ddfm.png
VIF,4.927470764057371e-07,20_palm_2_ddfm.png
QAB/F,0.001248935959362563,20_palm_2_ddfm.png
SSIM,0.2586018518825716,20_palm_2_ddfm.png
EN,5.9626202225554026e-05,20_palm_2_ddfm_denoising.png
SD,0.0017361084947186975,20_palm_2_ddfm_denoising.png
MI,8.250461758351645e-06,20_palm_2_ddfm_denoising.png
VIF,4.927470764057371e-07,20_palm_2_ddfm_denoising.png
QAB/F,0.001248935959362563,20_palm_2_ddfm_denoising.png
SSIM,0.2586018518825716,20_palm_2_ddfm_denoising.png
EN,5.9626202225554026e-05,2_palm_20_ddfm.png
SD,0.0017361084947186975,2_palm_20_ddfm.png
MI,8.250461758351645e-06,2_palm_20_ddfm.png
VIF,4.927470764057371e-07,2_palm_20_ddfm.png
QAB/F,0.001248935959362563,2_palm_20_ddfm.png
SSIM,0.2586018518825716,2_palm_20_ddfm.png
EN,5.9626202225554026e-05,2_palm_20_ddfm_denoising.png
SD,0.0017361084947186975,2_palm_20_ddfm_denoising.png
MI,8.250461758351645e-06,2_palm_20_ddfm_denoising.png
VIF,4.927470764057371e-07,2_palm_20_ddfm_denoising.png
QAB/F,0.001248935959362563,2_palm_20_ddfm_denoising.png
SSIM,0.2586018518825716,2_palm_20_ddfm_denoising.png
